[2022/06/06 14:04:22.631 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 14:04:22.637 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 14:04:22.637 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 14:04:22.637 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"tikv.batchsize"="128"
"insertproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"tikv.type"="raw"
"scanproportion"="0"
"debug.pprof"=":6060"
"readproportion"="1"
"workload"="core"
"recordcount"="1000000"
"verbose"="false"
"readallfields"="true"
"operationcount"="1000000"
"updateproportion"="0"
"requestdistribution"="uniform"
"threadcount"="5"
"tikv.conncount"="128"
"dotransactions"="true"
**********************************************
READ   - Takes(s): 299.9, Count: 819671, OPS: 2733.3, Avg(us): 1817, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 3000, 99.99th(us): 27000
READ   - Takes(s): 309.9, Count: 847274, OPS: 2734.2, Avg(us): 1816, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 3000, 99.99th(us): 27000
READ   - Takes(s): 319.9, Count: 874644, OPS: 2734.3, Avg(us): 1816, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 3000, 99.99th(us): 27000
READ   - Takes(s): 329.9, Count: 902115, OPS: 2734.7, Avg(us): 1816, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 3000, 99.99th(us): 27000
READ   - Takes(s): 339.9, Count: 929645, OPS: 2735.2, Avg(us): 1815, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 3000, 99.99th(us): 27000
READ   - Takes(s): 349.9, Count: 957249, OPS: 2735.9, Avg(us): 1815, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 3000, 99.99th(us): 27000
READ   - Takes(s): 359.9, Count: 984836, OPS: 2736.6, Avg(us): 1815, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 3000, 99.99th(us): 27000
Run finished, takes 6m5.680323186s
READ   - Takes(s): 365.6, Count: 1000000, OPS: 2735.5, Avg(us): 1814, Min(us): 867, Max(us): 139541, 99th(us): 3000, 99.9th(us): 3000, 99.99th(us): 27000
[2022/06/06 14:10:28.318 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/06 14:10:28.318 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
