[2022/06/08 10:28:33.529 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 10:28:33.537 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 10:28:33.537 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106870844986743687]
[2022/06/08 10:28:33.537 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"insertproportion"="0"
"recordcount"="1000000"
"operationcount"="1000000"
"tikv.batchsize"="128"
"threadcount"="20"
"dotransactions"="true"
"debug.pprof"=":6060"
"tikv.pd"="10.10.1.4:2379"
"readmodifywriteproportion"="0.5"
"verbose"="false"
"updateproportion"="0"
"readallfields"="true"
"requestdistribution"="uniform"
"tikv.type"="raw"
"readproportion"="0.5"
"tikv.conncount"="128"
"workload"="core"
**********************************************
READ   - Takes(s): 100.0, Count: 333637, OPS: 3337.6, Avg(us): 1755, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
READ_MODIFY_WRITE - Takes(s): 99.9, Count: 167197, OPS: 1673.5, Avg(us): 10197, Min(us): 5850, Max(us): 134302, 99th(us): 17000, 99.9th(us): 37000, 99.99th(us): 52000
UPDATE - Takes(s): 99.9, Count: 167198, OPS: 1673.5, Avg(us): 8416, Min(us): 4313, Max(us): 56526, 99th(us): 15000, 99.9th(us): 32000, 99.99th(us): 48000
READ   - Takes(s): 110.0, Count: 367324, OPS: 3340.4, Avg(us): 1753, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
READ_MODIFY_WRITE - Takes(s): 109.9, Count: 184212, OPS: 1676.0, Avg(us): 10182, Min(us): 5850, Max(us): 134302, 99th(us): 17000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 109.9, Count: 184214, OPS: 1676.0, Avg(us): 8404, Min(us): 4313, Max(us): 56526, 99th(us): 15000, 99.9th(us): 31000, 99.99th(us): 47000
READ   - Takes(s): 120.0, Count: 401491, OPS: 3346.8, Avg(us): 1749, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 38000
READ_MODIFY_WRITE - Takes(s): 119.9, Count: 201328, OPS: 1679.0, Avg(us): 10163, Min(us): 5850, Max(us): 134302, 99th(us): 17000, 99.9th(us): 36000, 99.99th(us): 52000
UPDATE - Takes(s): 119.9, Count: 201328, OPS: 1679.0, Avg(us): 8388, Min(us): 4313, Max(us): 56526, 99th(us): 15000, 99.9th(us): 31000, 99.99th(us): 47000
READ   - Takes(s): 130.0, Count: 435784, OPS: 3353.1, Avg(us): 1747, Min(us): 654, Max(us): 118683, 99th(us): 4000, 99.9th(us): 5000, 99.99th(us): 37000
