[2022/06/07 10:04:35.406 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/07 10:04:35.411 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/07 10:04:35.411 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106506722672181532]
[2022/06/07 10:04:35.411 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"dotransactions"="true"
"readallfields"="true"
"updateproportion"="0"
"tikv.type"="raw"
"recordcount"="1000000"
"threadcount"="5"
"requestdistribution"="latest"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.pd"="10.10.1.4:2379"
"operationcount"="1000000"
"readproportion"="0.95"
"workload"="core"
"verbose"="false"
"insertproportion"="0.05"
"debug.pprof"=":6060"
**********************************************
INSERT - Takes(s): 149.9, Count: 18651, OPS: 124.5, Avg(us): 7236, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 49000
READ   - Takes(s): 150.0, Count: 351361, OPS: 2343.1, Avg(us): 1731, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 40000
INSERT - Takes(s): 159.9, Count: 19894, OPS: 124.4, Avg(us): 7233, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 49000
READ   - Takes(s): 160.0, Count: 375197, OPS: 2345.6, Avg(us): 1729, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 40000
INSERT - Takes(s): 169.9, Count: 21085, OPS: 124.1, Avg(us): 7229, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 170.0, Count: 399473, OPS: 2350.4, Avg(us): 1726, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 40000
INSERT - Takes(s): 179.9, Count: 22391, OPS: 124.5, Avg(us): 7228, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 180.0, Count: 423142, OPS: 2351.3, Avg(us): 1725, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 40000
INSERT - Takes(s): 189.9, Count: 23651, OPS: 124.6, Avg(us): 7228, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 190.0, Count: 446607, OPS: 2351.1, Avg(us): 1725, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 199.9, Count: 24900, OPS: 124.6, Avg(us): 7226, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 42000
READ   - Takes(s): 200.0, Count: 470330, OPS: 2352.2, Avg(us): 1724, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 209.9, Count: 26117, OPS: 124.5, Avg(us): 7222, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 45000
READ   - Takes(s): 210.0, Count: 494258, OPS: 2354.1, Avg(us): 1723, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
INSERT - Takes(s): 219.9, Count: 27404, OPS: 124.6, Avg(us): 7224, Min(us): 5171, Max(us): 50865, 99th(us): 10000, 99.9th(us): 13000, 99.99th(us): 45000
READ   - Takes(s): 220.0, Count: 517712, OPS: 2353.7, Avg(us): 1723, Min(us): 949, Max(us): 122339, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 39000
