[2022/06/13 11:29:44.039 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 11:29:44.046 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 11:29:44.047 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108762482654755923]
[2022/06/13 11:29:44.047 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"verbose"="false"
"requestdistribution"="uniform"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"tikv.type"="raw"
"scanproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"recordcount"="10000000"
"readallfields"="true"
"updateproportion"="0.5"
"workload"="core"
"dotransactions"="false"
"readproportion"="0.5"
"threadcount"="120"
"dropdata"="false"
"debug.pprof"=":6060"
"insertproportion"="0"
**********************************************
INSERT - Takes(s): 289.9, Count: 2097055, OPS: 7234.0, Avg(us): 16518, Min(us): 5863, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 102000
INSERT - Takes(s): 299.9, Count: 2166204, OPS: 7223.4, Avg(us): 16542, Min(us): 5863, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 101000
INSERT - Takes(s): 309.9, Count: 2231931, OPS: 7202.4, Avg(us): 16591, Min(us): 5863, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 101000
INSERT - Takes(s): 319.9, Count: 2301940, OPS: 7196.1, Avg(us): 16605, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 101000
INSERT - Takes(s): 329.9, Count: 2369181, OPS: 7181.8, Avg(us): 16638, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 100000
INSERT - Takes(s): 339.9, Count: 2433060, OPS: 7158.4, Avg(us): 16691, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 100000
INSERT - Takes(s): 349.9, Count: 2495972, OPS: 7133.7, Avg(us): 16750, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 100000
INSERT - Takes(s): 359.9, Count: 2562184, OPS: 7119.4, Avg(us): 16784, Min(us): 5854, Max(us): 131604, 99th(us): 38000, 99.9th(us): 59000, 99.99th(us): 99000
INSERT - Takes(s): 369.9, Count: 2640562, OPS: 7138.8, Avg(us): 16738, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 99000
INSERT - Takes(s): 379.9, Count: 2717555, OPS: 7153.6, Avg(us): 16703, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 105000
INSERT - Takes(s): 389.9, Count: 2796292, OPS: 7172.1, Avg(us): 16660, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 104000
INSERT - Takes(s): 399.9, Count: 2863893, OPS: 7161.8, Avg(us): 16684, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 104000
INSERT - Takes(s): 409.9, Count: 2931848, OPS: 7152.8, Avg(us): 16705, Min(us): 5854, Max(us): 131604, 99th(us): 37000, 99.9th(us): 59000, 99.99th(us): 104000
