[2022/06/13 13:15:29.374 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/13 13:15:29.381 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7108789600103155778]
[2022/06/13 13:15:29.382 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"operationcount"="10000000"
"tikv.batchsize"="128"
"updateproportion"="0.5"
"recordcount"="10000000"
"workload"="core"
"dotransactions"="false"
"tikv.pd"="10.10.1.4:2379"
"readproportion"="0.5"
"insertproportion"="0"
"verbose"="false"
"tikv.type"="raw"
"dropdata"="false"
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="120"
"debug.pprof"=":6060"
"readallfields"="true"
"requestdistribution"="uniform"
**********************************************
INSERT - Takes(s): 289.9, Count: 2041581, OPS: 7041.9, Avg(us): 16969, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 92000
INSERT - Takes(s): 299.9, Count: 2107638, OPS: 7027.4, Avg(us): 17004, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 92000
INSERT - Takes(s): 309.9, Count: 2174653, OPS: 7016.9, Avg(us): 17029, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 91000
INSERT - Takes(s): 319.9, Count: 2237380, OPS: 6993.6, Avg(us): 17086, Min(us): 4324, Max(us): 119097, 99th(us): 38000, 99.9th(us): 60000, 99.99th(us): 90000
INSERT - Takes(s): 329.9, Count: 2305595, OPS: 6988.4, Avg(us): 17099, Min(us): 4324, Max(us): 119097, 99th(us): 37000, 99.9th(us): 60000, 99.99th(us): 90000
INSERT - Takes(s): 339.9, Count: 2370816, OPS: 6974.7, Avg(us): 17132, Min(us): 4324, Max(us): 119097, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 89000
INSERT - Takes(s): 349.9, Count: 2434622, OPS: 6957.7, Avg(us): 17174, Min(us): 4324, Max(us): 119097, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 89000
INSERT - Takes(s): 359.9, Count: 2494926, OPS: 6931.9, Avg(us): 17238, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 369.9, Count: 2559959, OPS: 6920.3, Avg(us): 17267, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 379.9, Count: 2629410, OPS: 6921.0, Avg(us): 17265, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 98000
INSERT - Takes(s): 389.9, Count: 2701300, OPS: 6927.9, Avg(us): 17248, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 98000
INSERT - Takes(s): 399.9, Count: 2776886, OPS: 6943.6, Avg(us): 17209, Min(us): 4324, Max(us): 161673, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 98000
INSERT - Takes(s): 409.9, Count: 2839993, OPS: 6928.2, Avg(us): 17247, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 95000
INSERT - Takes(s): 419.9, Count: 2901402, OPS: 6909.5, Avg(us): 17294, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 103000
INSERT - Takes(s): 429.9, Count: 2966993, OPS: 6901.3, Avg(us): 17315, Min(us): 4324, Max(us): 161673, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 103000
INSERT - Takes(s): 439.9, Count: 3033183, OPS: 6894.9, Avg(us): 17331, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 62000, 99.99th(us): 102000
INSERT - Takes(s): 449.9, Count: 3101501, OPS: 6893.5, Avg(us): 17334, Min(us): 4324, Max(us): 161673, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 101000
INSERT - Takes(s): 459.9, Count: 3173607, OPS: 6900.4, Avg(us): 17317, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 469.9, Count: 3246497, OPS: 6908.7, Avg(us): 17296, Min(us): 4324, Max(us): 161673, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 479.9, Count: 3310696, OPS: 6898.5, Avg(us): 17321, Min(us): 4324, Max(us): 161673, 99th(us): 37000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 489.9, Count: 3372074, OPS: 6882.9, Avg(us): 17361, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 499.9, Count: 3436438, OPS: 6874.0, Avg(us): 17383, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 509.9, Count: 3497302, OPS: 6858.6, Avg(us): 17423, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 519.9, Count: 3561627, OPS: 6850.4, Avg(us): 17444, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 529.9, Count: 3632968, OPS: 6855.7, Avg(us): 17430, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 100000
INSERT - Takes(s): 539.9, Count: 3706158, OPS: 6864.3, Avg(us): 17408, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
INSERT - Takes(s): 549.9, Count: 3768079, OPS: 6852.1, Avg(us): 17439, Min(us): 4324, Max(us): 161673, 99th(us): 38000, 99.9th(us): 61000, 99.99th(us): 99000
