[2022/06/06 14:41:50.984 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 14:41:50.990 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 14:41:50.990 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 14:41:50.990 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"tikv.conncount"="128"
"threadcount"="5"
"tikv.pd"="10.10.1.4:2379"
"insertproportion"="0"
"requestdistribution"="uniform"
"workload"="core"
"operationcount"="1000000"
"dotransactions"="true"
"updateproportion"="0"
"recordcount"="1000000"
"tikv.batchsize"="128"
"readallfields"="true"
"readmodifywriteproportion"="0.5"
"readproportion"="0.5"
"tikv.type"="raw"
"verbose"="false"
"debug.pprof"=":6060"
**********************************************
READ   - Takes(s): 100.0, Count: 78220, OPS: 782.5, Avg(us): 1980, Min(us): 1122, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 41000
READ_MODIFY_WRITE - Takes(s): 99.9, Count: 39136, OPS: 391.9, Avg(us): 10770, Min(us): 8241, Max(us): 135594, 99th(us): 14000, 99.9th(us): 19000, 99.99th(us): 112000
UPDATE - Takes(s): 99.9, Count: 39136, OPS: 391.9, Avg(us): 8769, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 110000
READ   - Takes(s): 110.0, Count: 86139, OPS: 783.4, Avg(us): 1977, Min(us): 1122, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 21000
READ_MODIFY_WRITE - Takes(s): 109.8, Count: 43079, OPS: 392.2, Avg(us): 10763, Min(us): 8241, Max(us): 135594, 99th(us): 14000, 99.9th(us): 19000, 99.99th(us): 110000
UPDATE - Takes(s): 109.9, Count: 43079, OPS: 392.2, Avg(us): 8764, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 108000
READ   - Takes(s): 120.0, Count: 94098, OPS: 784.4, Avg(us): 1976, Min(us): 1122, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 37000
READ_MODIFY_WRITE - Takes(s): 119.8, Count: 47012, OPS: 392.3, Avg(us): 10756, Min(us): 8241, Max(us): 135594, 99th(us): 14000, 99.9th(us): 18000, 99.99th(us): 110000
UPDATE - Takes(s): 119.8, Count: 47012, OPS: 392.3, Avg(us): 8758, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 108000
READ   - Takes(s): 130.0, Count: 101970, OPS: 784.6, Avg(us): 1974, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 21000
READ_MODIFY_WRITE - Takes(s): 129.9, Count: 50979, OPS: 392.6, Avg(us): 10749, Min(us): 8241, Max(us): 135594, 99th(us): 14000, 99.9th(us): 18000, 99.99th(us): 110000
UPDATE - Takes(s): 129.9, Count: 50979, OPS: 392.6, Avg(us): 8753, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 71000
READ   - Takes(s): 140.0, Count: 109803, OPS: 784.5, Avg(us): 1972, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 21000
READ_MODIFY_WRITE - Takes(s): 139.8, Count: 54933, OPS: 392.8, Avg(us): 10746, Min(us): 8241, Max(us): 135594, 99th(us): 14000, 99.9th(us): 18000, 99.99th(us): 110000
UPDATE - Takes(s): 139.8, Count: 54933, OPS: 392.8, Avg(us): 8751, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 71000
READ   - Takes(s): 150.0, Count: 117830, OPS: 785.7, Avg(us): 1971, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 21000
READ_MODIFY_WRITE - Takes(s): 149.8, Count: 58845, OPS: 392.7, Avg(us): 10743, Min(us): 8241, Max(us): 135594, 99th(us): 14000, 99.9th(us): 18000, 99.99th(us): 110000
UPDATE - Takes(s): 149.9, Count: 58845, OPS: 392.7, Avg(us): 8749, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 69000
READ   - Takes(s): 160.0, Count: 125782, OPS: 786.3, Avg(us): 1969, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 21000
READ_MODIFY_WRITE - Takes(s): 159.8, Count: 62781, OPS: 392.7, Avg(us): 10740, Min(us): 8241, Max(us): 135594, 99th(us): 14000, 99.9th(us): 18000, 99.99th(us): 81000
UPDATE - Takes(s): 159.9, Count: 62781, OPS: 392.7, Avg(us): 8748, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 69000
READ   - Takes(s): 170.0, Count: 133624, OPS: 786.2, Avg(us): 1968, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 20000
READ_MODIFY_WRITE - Takes(s): 169.8, Count: 66736, OPS: 392.9, Avg(us): 10738, Min(us): 8241, Max(us): 135594, 99th(us): 13000, 99.9th(us): 18000, 99.99th(us): 81000
UPDATE - Takes(s): 169.9, Count: 66737, OPS: 392.9, Avg(us): 8746, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 69000
READ   - Takes(s): 180.0, Count: 141460, OPS: 786.1, Avg(us): 1967, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 20000
READ_MODIFY_WRITE - Takes(s): 179.9, Count: 70678, OPS: 393.0, Avg(us): 10738, Min(us): 8241, Max(us): 135594, 99th(us): 13000, 99.9th(us): 18000, 99.99th(us): 80000
UPDATE - Takes(s): 179.9, Count: 70678, OPS: 393.0, Avg(us): 8746, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 56000
READ   - Takes(s): 190.0, Count: 149393, OPS: 786.4, Avg(us): 1966, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 20000
READ_MODIFY_WRITE - Takes(s): 189.8, Count: 74623, OPS: 393.1, Avg(us): 10735, Min(us): 8241, Max(us): 135594, 99th(us): 13000, 99.9th(us): 18000, 99.99th(us): 80000
UPDATE - Takes(s): 189.9, Count: 74623, OPS: 393.1, Avg(us): 8744, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 56000
READ   - Takes(s): 200.0, Count: 157456, OPS: 787.4, Avg(us): 1965, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 20000
READ_MODIFY_WRITE - Takes(s): 199.8, Count: 78571, OPS: 393.2, Avg(us): 10729, Min(us): 8241, Max(us): 135594, 99th(us): 13000, 99.9th(us): 17000, 99.99th(us): 80000
UPDATE - Takes(s): 199.9, Count: 78571, OPS: 393.1, Avg(us): 8740, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 56000
READ   - Takes(s): 210.0, Count: 165404, OPS: 787.8, Avg(us): 1964, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 20000
READ_MODIFY_WRITE - Takes(s): 209.9, Count: 82511, OPS: 393.2, Avg(us): 10727, Min(us): 8241, Max(us): 135594, 99th(us): 13000, 99.9th(us): 17000, 99.99th(us): 72000
UPDATE - Takes(s): 209.9, Count: 82511, OPS: 393.2, Avg(us): 8739, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 56000
READ   - Takes(s): 220.0, Count: 173378, OPS: 788.2, Avg(us): 1963, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 19000
READ_MODIFY_WRITE - Takes(s): 219.8, Count: 86470, OPS: 393.3, Avg(us): 10723, Min(us): 8241, Max(us): 135594, 99th(us): 13000, 99.9th(us): 17000, 99.99th(us): 72000
UPDATE - Takes(s): 219.9, Count: 86470, OPS: 393.3, Avg(us): 8736, Min(us): 6434, Max(us): 133462, 99th(us): 11000, 99.9th(us): 14000, 99.99th(us): 56000
READ   - Takes(s): 230.0, Count: 181331, OPS: 788.5, Avg(us): 1962, Min(us): 1080, Max(us): 137373, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 19000
READ_MODIFY_WRITE - Takes(s): 229.8, Count: 90418, OPS: 393.4, Avg(us): 10721, Min(us): 8241, Max(us): 135594, 99th(us): 13000, 99.9th(us): 18000, 99.99th(us): 58000
