[2022/06/06 15:13:13.436 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 15:13:13.441 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 15:13:13.441 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106192817000404639]
[2022/06/06 15:13:13.441 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"tikv.conncount"="128"
"dotransactions"="true"
"readallfields"="true"
"requestdistribution"="uniform"
"threadcount"="15"
"verbose"="false"
"tikv.type"="raw"
"workload"="core"
"readmodifywriteproportion"="0.5"
"tikv.batchsize"="128"
"readproportion"="0.5"
"operationcount"="1000000"
"updateproportion"="0"
"recordcount"="1000000"
"insertproportion"="0"
"tikv.pd"="10.10.1.4:2379"
"debug.pprof"=":6060"
"scanproportion"="0"
**********************************************
READ   - Takes(s): 100.0, Count: 240062, OPS: 2401.6, Avg(us): 1780, Min(us): 797, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 32000
READ_MODIFY_WRITE - Takes(s): 99.9, Count: 120156, OPS: 1202.8, Avg(us): 10684, Min(us): 6641, Max(us): 111374, 99th(us): 20000, 99.9th(us): 33000, 99.99th(us): 49000
UPDATE - Takes(s): 99.9, Count: 120156, OPS: 1202.8, Avg(us): 8880, Min(us): 5085, Max(us): 60977, 99th(us): 18000, 99.9th(us): 29000, 99.99th(us): 45000
READ   - Takes(s): 110.0, Count: 265176, OPS: 2411.6, Avg(us): 1776, Min(us): 797, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 32000
READ_MODIFY_WRITE - Takes(s): 109.9, Count: 132673, OPS: 1207.2, Avg(us): 10640, Min(us): 6641, Max(us): 111374, 99th(us): 20000, 99.9th(us): 32000, 99.99th(us): 47000
UPDATE - Takes(s): 109.9, Count: 132673, OPS: 1207.2, Avg(us): 8840, Min(us): 5085, Max(us): 60977, 99th(us): 18000, 99.9th(us): 28000, 99.99th(us): 44000
READ   - Takes(s): 120.0, Count: 290533, OPS: 2421.9, Avg(us): 1772, Min(us): 797, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 32000
READ_MODIFY_WRITE - Takes(s): 119.9, Count: 145326, OPS: 1212.1, Avg(us): 10592, Min(us): 6641, Max(us): 111374, 99th(us): 20000, 99.9th(us): 32000, 99.99th(us): 49000
UPDATE - Takes(s): 119.9, Count: 145327, OPS: 1212.1, Avg(us): 8796, Min(us): 5082, Max(us): 60977, 99th(us): 18000, 99.9th(us): 28000, 99.99th(us): 44000
READ   - Takes(s): 130.0, Count: 315295, OPS: 2426.1, Avg(us): 1771, Min(us): 797, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 31000
READ_MODIFY_WRITE - Takes(s): 129.9, Count: 157639, OPS: 1213.6, Avg(us): 10576, Min(us): 6456, Max(us): 111374, 99th(us): 20000, 99.9th(us): 34000, 99.99th(us): 49000
UPDATE - Takes(s): 129.9, Count: 157639, OPS: 1213.6, Avg(us): 8781, Min(us): 4916, Max(us): 60977, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 45000
READ   - Takes(s): 140.0, Count: 340392, OPS: 2432.1, Avg(us): 1770, Min(us): 797, Max(us): 97485, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 32000
