[2022/06/08 21:46:26.265 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/08 21:46:26.273 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/08 21:46:26.273 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7107062843429175921]
[2022/06/08 21:46:26.273 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"scanproportion"="0"
"operationcount"="1000000"
"verbose"="false"
"debug.pprof"=":6060"
"recordcount"="1000000"
"tikv.conncount"="128"
"workload"="core"
"tikv.batchsize"="128"
"threadcount"="10"
"tikv.type"="raw"
"dotransactions"="true"
"insertproportion"="0"
"requestdistribution"="uniform"
"readproportion"="0.95"
"tikv.pd"="10.10.1.4:2379"
"readallfields"="true"
"updateproportion"="0.05"
**********************************************
READ   - Takes(s): 150.0, Count: 681960, OPS: 4547.4, Avg(us): 1736, Min(us): 900, Max(us): 92160, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 149.9, Count: 35889, OPS: 239.4, Avg(us): 8550, Min(us): 6593, Max(us): 94156, 99th(us): 11000, 99.9th(us): 21000, 99.99th(us): 40000
READ   - Takes(s): 160.0, Count: 727254, OPS: 4546.3, Avg(us): 1736, Min(us): 900, Max(us): 92160, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 159.9, Count: 38349, OPS: 239.8, Avg(us): 8551, Min(us): 6593, Max(us): 94156, 99th(us): 11000, 99.9th(us): 20000, 99.99th(us): 41000
READ   - Takes(s): 170.0, Count: 772756, OPS: 4546.5, Avg(us): 1736, Min(us): 900, Max(us): 92160, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 169.9, Count: 40729, OPS: 239.7, Avg(us): 8550, Min(us): 6593, Max(us): 94156, 99th(us): 11000, 99.9th(us): 19000, 99.99th(us): 40000
READ   - Takes(s): 180.0, Count: 818675, OPS: 4549.1, Avg(us): 1735, Min(us): 900, Max(us): 92160, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 179.9, Count: 43054, OPS: 239.3, Avg(us): 8551, Min(us): 6593, Max(us): 94156, 99th(us): 11000, 99.9th(us): 20000, 99.99th(us): 41000
READ   - Takes(s): 190.0, Count: 864242, OPS: 4549.5, Avg(us): 1735, Min(us): 900, Max(us): 92160, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 189.9, Count: 45461, OPS: 239.4, Avg(us): 8553, Min(us): 6593, Max(us): 94156, 99th(us): 11000, 99.9th(us): 21000, 99.99th(us): 43000
READ   - Takes(s): 200.0, Count: 910071, OPS: 4551.1, Avg(us): 1735, Min(us): 900, Max(us): 92160, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 199.9, Count: 47851, OPS: 239.4, Avg(us): 8551, Min(us): 6593, Max(us): 94156, 99th(us): 11000, 99.9th(us): 20000, 99.99th(us): 43000
Run finished, takes 3m29.365644647s
READ   - Takes(s): 209.3, Count: 950148, OPS: 4539.0, Avg(us): 1734, Min(us): 900, Max(us): 92160, 99th(us): 3000, 99.9th(us): 4000, 99.99th(us): 34000
UPDATE - Takes(s): 209.3, Count: 49852, OPS: 238.2, Avg(us): 8550, Min(us): 6593, Max(us): 94156, 99th(us): 11000, 99.9th(us): 20000, 99.99th(us): 43000
[2022/06/08 21:49:55.640 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/08 21:49:55.640 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
