[2022/06/07 14:06:50.014 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/07 14:06:50.022 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/07 14:06:50.022 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7106566731107235629]
[2022/06/07 14:06:50.022 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"requestdistribution"="uniform"
"tikv.pd"="10.10.1.4:2379"
"tikv.batchsize"="128"
"threadcount"="20"
"readproportion"="0.5"
"readallfields"="true"
"workload"="core"
"insertproportion"="0"
"verbose"="false"
"tikv.type"="raw"
"recordcount"="1000000"
"debug.pprof"=":6060"
"tikv.conncount"="128"
"operationcount"="1000000"
"scanproportion"="0"
"dotransactions"="true"
"updateproportion"="0.5"
**********************************************
READ   - Takes(s): 150.0, Count: 296287, OPS: 1975.8, Avg(us): 1715, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 149.9, Count: 296457, OPS: 1977.2, Avg(us): 8368, Min(us): 4319, Max(us): 97621, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 48000
READ   - Takes(s): 160.0, Count: 313523, OPS: 1960.0, Avg(us): 1716, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 159.9, Count: 314029, OPS: 1963.5, Avg(us): 8439, Min(us): 4319, Max(us): 97621, 99th(us): 18000, 99.9th(us): 31000, 99.99th(us): 47000
READ   - Takes(s): 170.0, Count: 331456, OPS: 1950.2, Avg(us): 1717, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 169.9, Count: 332027, OPS: 1953.8, Avg(us): 8488, Min(us): 4319, Max(us): 97621, 99th(us): 18000, 99.9th(us): 31000, 99.99th(us): 46000
READ   - Takes(s): 180.0, Count: 349881, OPS: 1944.2, Avg(us): 1720, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 179.9, Count: 350586, OPS: 1948.4, Avg(us): 8515, Min(us): 4319, Max(us): 97621, 99th(us): 18000, 99.9th(us): 31000, 99.99th(us): 46000
READ   - Takes(s): 190.0, Count: 370160, OPS: 1948.6, Avg(us): 1719, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 189.9, Count: 370920, OPS: 1952.9, Avg(us): 8491, Min(us): 4319, Max(us): 97621, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 46000
READ   - Takes(s): 200.0, Count: 390501, OPS: 1952.9, Avg(us): 1717, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 199.9, Count: 391249, OPS: 1956.9, Avg(us): 8472, Min(us): 4319, Max(us): 97621, 99th(us): 18000, 99.9th(us): 30000, 99.99th(us): 46000
READ   - Takes(s): 210.0, Count: 410191, OPS: 1953.7, Avg(us): 1717, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 209.9, Count: 410821, OPS: 1956.9, Avg(us): 8472, Min(us): 4319, Max(us): 97621, 99th(us): 18000, 99.9th(us): 31000, 99.99th(us): 46000
READ   - Takes(s): 220.0, Count: 430438, OPS: 1956.9, Avg(us): 1715, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 30000
UPDATE - Takes(s): 219.9, Count: 431153, OPS: 1960.3, Avg(us): 8456, Min(us): 4319, Max(us): 142455, 99th(us): 18000, 99.9th(us): 31000, 99.99th(us): 52000
READ   - Takes(s): 230.0, Count: 451422, OPS: 1963.0, Avg(us): 1713, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 229.9, Count: 452122, OPS: 1966.3, Avg(us): 8426, Min(us): 4319, Max(us): 142455, 99th(us): 18000, 99.9th(us): 31000, 99.99th(us): 50000
READ   - Takes(s): 240.0, Count: 472453, OPS: 1968.9, Avg(us): 1711, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 239.9, Count: 472846, OPS: 1970.7, Avg(us): 8404, Min(us): 4319, Max(us): 154892, 99th(us): 18000, 99.9th(us): 31000, 99.99th(us): 59000
READ   - Takes(s): 250.0, Count: 493126, OPS: 1972.8, Avg(us): 1710, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 249.9, Count: 493459, OPS: 1974.3, Avg(us): 8387, Min(us): 4319, Max(us): 154892, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 57000
Run finished, takes 4m14.49516202s
READ   - Takes(s): 254.5, Count: 499800, OPS: 1964.2, Avg(us): 1709, Min(us): 670, Max(us): 85116, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 31000
UPDATE - Takes(s): 254.4, Count: 500198, OPS: 1965.9, Avg(us): 8382, Min(us): 4319, Max(us): 154892, 99th(us): 17000, 99.9th(us): 31000, 99.99th(us): 57000
[2022/06/07 14:11:04.518 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/07 14:11:04.518 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
