[2022/06/06 11:16:14.502 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 11:16:14.508 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 11:16:14.508 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7105848244335012427]
[2022/06/06 11:16:14.508 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"insertproportion"="0"
"workload"="core"
"dotransactions"="true"
"readallfields"="true"
"tikv.pd"="10.10.1.4:2379"
"verbose"="false"
"tikv.type"="raw"
"requestdistribution"="uniform"
"debug.pprof"=":6060"
"operationcount"="1000000"
"readproportion"="0.5"
"updateproportion"="0.5"
"threadcount"="5"
"scanproportion"="0"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"recordcount"="1000000"
**********************************************
READ   - Takes(s): 149.9, Count: 69296, OPS: 462.2, Avg(us): 1984, Min(us): 1122, Max(us): 77923, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 30000
UPDATE - Takes(s): 149.9, Count: 69046, OPS: 460.6, Avg(us): 8828, Min(us): 6235, Max(us): 145267, 99th(us): 13000, 99.9th(us): 20000, 99.99th(us): 89000
READ   - Takes(s): 159.9, Count: 73994, OPS: 462.7, Avg(us): 1985, Min(us): 947, Max(us): 77923, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 25000
UPDATE - Takes(s): 159.9, Count: 73638, OPS: 460.5, Avg(us): 8827, Min(us): 6235, Max(us): 145267, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 88000
READ   - Takes(s): 169.9, Count: 78709, OPS: 463.2, Avg(us): 1985, Min(us): 947, Max(us): 77923, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 25000
UPDATE - Takes(s): 169.9, Count: 78231, OPS: 460.4, Avg(us): 8825, Min(us): 6235, Max(us): 145267, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 88000
READ   - Takes(s): 179.9, Count: 83470, OPS: 463.9, Avg(us): 1988, Min(us): 947, Max(us): 77923, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 25000
UPDATE - Takes(s): 179.9, Count: 82724, OPS: 459.8, Avg(us): 8831, Min(us): 6235, Max(us): 145267, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 45000
READ   - Takes(s): 189.9, Count: 88121, OPS: 464.0, Avg(us): 1990, Min(us): 947, Max(us): 77923, 99th(us): 3000, 99.9th(us): 6000, 99.99th(us): 25000
UPDATE - Takes(s): 189.9, Count: 87241, OPS: 459.4, Avg(us): 8836, Min(us): 6235, Max(us): 145267, 99th(us): 12000, 99.9th(us): 19000, 99.99th(us): 45000
READ   - Takes(s): 199.9, Count: 92835, OPS: 464.4, Avg(us): 1990, Min(us): 947, Max(us): 77923, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 25000
UPDATE - Takes(s): 199.9, Count: 91797, OPS: 459.2, Avg(us): 8838, Min(us): 6235, Max(us): 145267, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 41000
READ   - Takes(s): 209.9, Count: 97311, OPS: 463.6, Avg(us): 1991, Min(us): 947, Max(us): 77923, 99th(us): 3000, 99.9th(us): 5000, 99.99th(us): 25000
UPDATE - Takes(s): 209.9, Count: 96389, OPS: 459.2, Avg(us): 8840, Min(us): 6235, Max(us): 145267, 99th(us): 12000, 99.9th(us): 18000, 99.99th(us): 41000
