[2022/06/06 12:01:15.954 -05:00] [INFO] [client.go:378] ["[pd] create pd client with endpoints"] [pd-address="[10.10.1.4:2379]"]
[2022/06/06 12:01:15.960 -05:00] [INFO] [base_client.go:350] ["[pd] switch leader"] [new-leader=http://10.10.1.4:2379] [old-leader=]
[2022/06/06 12:01:15.960 -05:00] [INFO] [base_client.go:105] ["[pd] init cluster id"] [cluster-id=7105848244335012427]
[2022/06/06 12:01:15.960 -05:00] [INFO] [client.go:673] ["[pd] tso dispatcher created"] [dc-location=global]
***************** properties *****************
"readproportion"="0.5"
"threadcount"="35"
"updateproportion"="0.5"
"operationcount"="1000000"
"debug.pprof"=":6060"
"verbose"="false"
"tikv.type"="raw"
"workload"="core"
"scanproportion"="0"
"readallfields"="true"
"tikv.pd"="10.10.1.4:2379"
"insertproportion"="0"
"dotransactions"="true"
"tikv.conncount"="128"
"tikv.batchsize"="128"
"requestdistribution"="uniform"
"recordcount"="1000000"
**********************************************
READ   - Takes(s): 150.0, Count: 403227, OPS: 2688.9, Avg(us): 1786, Min(us): 683, Max(us): 99238, 99th(us): 5000, 99.9th(us): 7000, 99.99th(us): 37000
UPDATE - Takes(s): 149.9, Count: 403623, OPS: 2692.3, Avg(us): 11186, Min(us): 4593, Max(us): 150721, 99th(us): 23000, 99.9th(us): 42000, 99.99th(us): 113000
READ   - Takes(s): 160.0, Count: 430935, OPS: 2694.0, Avg(us): 1784, Min(us): 683, Max(us): 99238, 99th(us): 5000, 99.9th(us): 7000, 99.99th(us): 37000
UPDATE - Takes(s): 159.9, Count: 431192, OPS: 2696.4, Avg(us): 11167, Min(us): 4593, Max(us): 150721, 99th(us): 23000, 99.9th(us): 42000, 99.99th(us): 111000
READ   - Takes(s): 170.0, Count: 458767, OPS: 2699.3, Avg(us): 1783, Min(us): 683, Max(us): 99238, 99th(us): 5000, 99.9th(us): 7000, 99.99th(us): 37000
UPDATE - Takes(s): 169.9, Count: 458961, OPS: 2701.1, Avg(us): 11145, Min(us): 4593, Max(us): 150721, 99th(us): 23000, 99.9th(us): 41000, 99.99th(us): 111000
READ   - Takes(s): 180.0, Count: 487489, OPS: 2708.9, Avg(us): 1781, Min(us): 683, Max(us): 99238, 99th(us): 5000, 99.9th(us): 7000, 99.99th(us): 37000
UPDATE - Takes(s): 179.9, Count: 487628, OPS: 2710.3, Avg(us): 11103, Min(us): 4513, Max(us): 150721, 99th(us): 22000, 99.9th(us): 41000, 99.99th(us): 110000
Run finished, takes 3m5.339435458s
READ   - Takes(s): 185.3, Count: 499899, OPS: 2697.8, Avg(us): 1780, Min(us): 683, Max(us): 99238, 99th(us): 5000, 99.9th(us): 7000, 99.99th(us): 37000
UPDATE - Takes(s): 185.3, Count: 500085, OPS: 2699.5, Avg(us): 11074, Min(us): 4339, Max(us): 150721, 99th(us): 22000, 99.9th(us): 41000, 99.99th(us): 109000
[2022/06/06 12:04:21.300 -05:00] [INFO] [client.go:754] ["[pd] stop fetching the pending tso requests due to context canceled"] [dc-location=global]
[2022/06/06 12:04:21.301 -05:00] [INFO] [client.go:692] ["[pd] exit tso dispatcher"] [dc-location=global]
